,Data,location,Total de Mortes,Novas Mortes no Dia
13185,11/03/2021,Brazil,272889.0,2233.0
13186,12/03/2021,Brazil,275105.0,2216.0
13187,13/03/2021,Brazil,277102.0,1997.0
13188,14/03/2021,Brazil,278229.0,1127.0
13189,15/03/2021,Brazil,279286.0,1057.0
13190,16/03/2021,Brazil,282127.0,2841.0
13191,17/03/2021,Brazil,284775.0,2648.0
13192,18/03/2021,Brazil,287499.0,2724.0
13193,19/03/2021,Brazil,290314.0,2815.0
13194,20/03/2021,Brazil,292752.0,2438.0
13195,21/03/2021,Brazil,294042.0,1290.0
13196,22/03/2021,Brazil,295425.0,1383.0
13197,23/03/2021,Brazil,298676.0,3251.0
13198,24/03/2021,Brazil,300685.0,2009.0
13199,25/03/2021,Brazil,303462.0,2777.0
13200,26/03/2021,Brazil,307112.0,3650.0
13201,27/03/2021,Brazil,310550.0,3438.0
13202,28/03/2021,Brazil,312206.0,1656.0
13203,29/03/2021,Brazil,313866.0,1660.0
13204,30/03/2021,Brazil,317646.0,3780.0
13205,31/03/2021,Brazil,321515.0,3869.0
13206,01/04/2021,Brazil,325284.0,3769.0
13207,02/04/2021,Brazil,328206.0,2922.0
13208,03/04/2021,Brazil,330193.0,1987.0
13209,04/04/2021,Brazil,331433.0,1240.0
13210,05/04/2021,Brazil,332752.0,1319.0
13211,06/04/2021,Brazil,336947.0,4195.0
13212,07/04/2021,Brazil,340776.0,3829.0
13213,08/04/2021,Brazil,345025.0,4249.0
13214,09/04/2021,Brazil,348718.0,3693.0
13215,10/04/2021,Brazil,351334.0,2616.0
13216,11/04/2021,Brazil,353137.0,1803.0
13217,12/04/2021,Brazil,354617.0,1480.0
13218,13/04/2021,Brazil,358425.0,3808.0
13219,14/04/2021,Brazil,361884.0,3459.0
13220,15/04/2021,Brazil,365444.0,3560.0
13221,16/04/2021,Brazil,368749.0,3305.0
13222,17/04/2021,Brazil,371678.0,2929.0
13223,18/04/2021,Brazil,373335.0,1657.0
13224,19/04/2021,Brazil,374682.0,1347.0
13225,20/04/2021,Brazil,378003.0,3321.0
13226,21/04/2021,Brazil,381475.0,3472.0
13227,22/04/2021,Brazil,383502.0,2027.0
13228,23/04/2021,Brazil,386416.0,2914.0
13229,24/04/2021,Brazil,389492.0,3076.0
13230,25/04/2021,Brazil,390797.0,1305.0
13231,26/04/2021,Brazil,391936.0,1139.0
13232,27/04/2021,Brazil,395022.0,3086.0
13233,28/04/2021,Brazil,398185.0,3163.0
13234,29/04/2021,Brazil,401186.0,3001.0
13235,30/04/2021,Brazil,403781.0,2595.0
13236,01/05/2021,Brazil,406437.0,2656.0
13237,02/05/2021,Brazil,407639.0,1202.0
13238,03/05/2021,Brazil,408622.0,983.0
13239,04/05/2021,Brazil,411588.0,2966.0
13240,05/05/2021,Brazil,414399.0,2811.0
13241,06/05/2021,Brazil,416949.0,2550.0
13242,07/05/2021,Brazil,419114.0,2165.0
13243,08/05/2021,Brazil,421316.0,2202.0
13244,09/05/2021,Brazil,422340.0,1024.0
13245,10/05/2021,Brazil,423229.0,889.0
13246,11/05/2021,Brazil,425540.0,2311.0
13247,12/05/2021,Brazil,428034.0,2494.0
13248,13/05/2021,Brazil,430417.0,2383.0
13249,14/05/2021,Brazil,432628.0,2211.0
13250,15/05/2021,Brazil,434715.0,2087.0
13251,16/05/2021,Brazil,435751.0,1036.0
13252,17/05/2021,Brazil,436537.0,786.0
13253,18/05/2021,Brazil,439050.0,2513.0
13254,19/05/2021,Brazil,441691.0,2641.0
13255,20/05/2021,Brazil,444094.0,2403.0
13256,21/05/2021,Brazil,446309.0,2215.0
13257,22/05/2021,Brazil,448208.0,1899.0
13258,23/05/2021,Brazil,449068.0,860.0
13259,24/05/2021,Brazil,449858.0,790.0
13260,25/05/2021,Brazil,452031.0,2173.0
13261,26/05/2021,Brazil,454429.0,2398.0
13262,27/05/2021,Brazil,456674.0,2245.0
13263,28/05/2021,Brazil,459045.0,2371.0
13264,29/05/2021,Brazil,461057.0,2012.0
13265,30/05/2021,Brazil,461931.0,874.0
13266,31/05/2021,Brazil,462791.0,860.0
13267,01/06/2021,Brazil,465199.0,2408.0
13268,02/06/2021,Brazil,467706.0,2507.0
13269,03/06/2021,Brazil,469388.0,1682.0
13270,04/06/2021,Brazil,470842.0,1454.0
13271,05/06/2021,Brazil,472531.0,1689.0
13272,06/06/2021,Brazil,473404.0,873.0
13273,07/06/2021,Brazil,474414.0,1010.0
13274,08/06/2021,Brazil,476792.0,2378.0
13275,09/06/2021,Brazil,479515.0,2723.0
13276,10/06/2021,Brazil,482019.0,2504.0
13277,11/06/2021,Brazil,484235.0,2216.0
13278,12/06/2021,Brazil,486272.0,2037.0
13279,13/06/2021,Brazil,487401.0,1129.0
13280,14/06/2021,Brazil,488228.0,827.0
13281,15/06/2021,Brazil,490696.0,2468.0
13282,16/06/2021,Brazil,493693.0,2997.0
